underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
9117.98,SYN.BTC-25SEP20,1579545018157,open,0.04,137.5,0.0185,0.063,0.03581399,72.66,0.035,0.0,BTC-25SEP20-5000-P,8652.38,16818700471,"[[0.0335, 11.8], [0.0325, 12.0], [0.032, 18.8], [0.0315, 100.0], [0.001, 1.0], [0.0005, 1.0]]",71.0,0.0335,11.8,0.0375,17.4,"[[0.0375, 17.4], [0.0385, 10.0], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2]]",73.84,0.035,0.035,0.1,-1.8801,-0.09649,-8.21493,3e-05,12.86369
9121.94,SYN.BTC-25SEP20,1579545093405,open,0.04,137.5,0.0185,0.0625,0.03574928,72.65,0.035,0.0,BTC-25SEP20-5000-P,8657.02,16818705559,"[[0.0335, 11.8], [0.0325, 12.0], [0.032, 18.5], [0.0315, 100.0], [0.001, 1.0], [0.0005, 1.0]]",71.04,0.0335,11.8,0.0375,17.4,"[[0.0375, 17.4], [0.038, 10.0], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2]]",73.89,0.035,0.035,0.1,-1.8789,-0.09635,-8.20621,3e-05,12.85627
9118.45,SYN.BTC-25SEP20,1579545396158,open,0.04,160.6,0.0185,0.063,0.03580539,72.66,0.0335,0.0,BTC-25SEP20-5000-P,8653.66,16818735498,"[[0.0325, 10.0], [0.032, 30.7], [0.0315, 112.0], [0.001, 1.0], [0.0005, 1.0]]",70.28,0.0325,10.0,0.037,8.0,"[[0.037, 8.0], [0.0375, 19.4], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2], [0.0525, 12.0]]",73.5,0.035,0.0335,23.9,-1.87996,-0.09647,-8.21361,3e-05,12.86258
9121.02,SYN.BTC-25SEP20,1579545474220,open,0.04,160.6,0.0185,0.0625,0.03575679,72.65,0.0335,0.0,BTC-25SEP20-5000-P,8657.37,16818742847,"[[0.0325, 10.0], [0.032, 30.5], [0.0315, 112.0], [0.001, 1.0], [0.0005, 1.0]]",70.3,0.0325,10.0,0.037,8.0,"[[0.037, 8.0], [0.0375, 19.4], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2], [0.052, 12.0]]",73.53,0.035,0.0335,23.9,-1.87895,-0.09638,-8.20706,3e-05,12.85701
9122.82,SYN.BTC-25SEP20,1579545569747,open,0.04,160.6,0.0185,0.0625,0.03572316,72.64,0.0335,0.0,BTC-25SEP20-5000-P,8656.06,16818742847,"[[0.0325, 10.0], [0.032, 30.5], [0.0315, 112.0], [0.001, 1.0], [0.0005, 1.0]]",70.32,0.0325,10.0,0.037,8.0,"[[0.037, 8.0], [0.0375, 19.4], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2], [0.052, 12.0]]",73.55,0.035,0.0335,23.9,-1.87825,-0.09631,-8.20253,3e-05,12.85315
9123.77,SYN.BTC-25SEP20,1579545663157,open,0.04,160.6,0.0185,0.0625,0.03570933,72.64,0.0335,0.0,BTC-25SEP20-5000-P,8657.83,16818757461,"[[0.0325, 10.0], [0.032, 18.5], [0.0315, 124.0], [0.001, 1.0], [0.0005, 1.0]]",70.33,0.0325,10.0,0.037,8.0,"[[0.037, 8.0], [0.0375, 19.4], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2], [0.052, 12.0]]",73.56,0.035,0.0335,23.9,-1.87803,-0.09628,-8.20064,3e-05,12.85154
9124.02,SYN.BTC-25SEP20,1579545741158,open,0.04,160.6,0.0185,0.0625,0.03570239,72.64,0.0335,0.0,BTC-25SEP20-5000-P,8658.38,16818757461,"[[0.0325, 10.0], [0.032, 18.5], [0.0315, 124.0], [0.001, 1.0], [0.0005, 1.0]]",70.33,0.0325,10.0,0.037,8.0,"[[0.037, 8.0], [0.0375, 19.4], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2], [0.052, 12.0]]",73.56,0.035,0.0335,23.9,-1.87786,-0.09627,-8.19967,3e-05,12.85072
9121.63,SYN.BTC-25SEP20,1579545813157,open,0.04,160.6,0.0185,0.0625,0.0357383,72.64,0.0335,0.0,BTC-25SEP20-5000-P,8657.08,16818757461,"[[0.0325, 10.0], [0.032, 18.5], [0.0315, 124.0], [0.001, 1.0], [0.0005, 1.0]]",70.31,0.0325,10.0,0.037,8.0,"[[0.037, 8.0], [0.0375, 19.4], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2], [0.052, 12.0]]",73.53,0.035,0.0335,23.9,-1.87849,-0.09635,-8.20445,3e-05,12.85479
9119.62,SYN.BTC-25SEP20,1579545891157,open,0.04,299.1,0.0185,0.0625,0.03575726,72.64,0.0315,0.0,BTC-25SEP20-5000-P,8656.38,16818779260,"[[0.0315, 120.5], [0.031, 19.6], [0.001, 1.0], [0.0005, 1.0]]",69.55,0.0315,120.5,0.036,19.3,"[[0.036, 19.3], [0.0365, 8.0], [0.04, 12.0], [0.0405, 0.3], [0.041, 1.2], [0.052, 12.0]]",72.81,0.035,0.0315,173.9,-1.87863,-0.0964,-8.20695,3e-05,12.85692
9108.11,SYN.BTC-25SEP20,1579572028632,open,0.04,299.1,0.017,0.059,0.03315927,70.7,0.0315,0.0,BTC-25SEP20-5000-P,8637.59,16822033546,"[[0.0315, 108.5], [0.0295, 19.9], [0.029, 17.0], [0.001, 1.0], [0.0005, 1.0]]",69.48,0.0315,108.5,0.034,19.0,"[[0.034, 19.0], [0.035, 11.4], [0.0355, 9.0], [0.0405, 0.3], [0.041, 1.2]]",71.31,0.035,0.0315,173.9,-1.7852,-0.0934,-7.83974,3e-05,12.53725
9108.37,SYN.BTC-25SEP20,1579572098115,open,0.04,299.1,0.017,0.059,0.03315694,70.7,0.0315,0.0,BTC-25SEP20-5000-P,8635.96,16822039478,"[[0.0315, 108.5], [0.0295, 19.8], [0.029, 17.0], [0.001, 1.0], [0.0005, 1.0]]",69.48,0.0315,108.5,0.034,9.0,"[[0.034, 9.0], [0.0345, 19.3], [0.0355, 9.0], [0.0405, 0.3], [0.041, 1.2]]",71.31,0.035,0.0315,173.9,-1.7852,-0.09339,-7.83938,3e-05,12.53693
9107.39,SYN.BTC-25SEP20,1579572167598,open,0.04,299.1,0.017,0.059,0.03317476,70.7,0.0315,0.0,BTC-25SEP20-5000-P,8636.13,16822043622,"[[0.0315, 108.5], [0.0295, 19.8], [0.029, 17.0], [0.001, 1.0], [0.0005, 1.0]]",69.47,0.0315,108.5,0.034,9.0,"[[0.034, 9.0], [0.0345, 10.0], [0.035, 11.4], [0.0355, 9.0], [0.0405, 0.3], [0.041, 1.2]]",71.3,0.035,0.0315,173.9,-1.78559,-0.09342,-7.84185,3e-05,12.53914
9106.78,SYN.BTC-25SEP20,1579572237158,open,0.04,299.1,0.017,0.059,0.03318217,70.7,0.0315,0.0,BTC-25SEP20-5000-P,8636.0,16822043622,"[[0.0315, 108.5], [0.0295, 19.8], [0.029, 17.0], [0.001, 1.0], [0.0005, 1.0]]",69.47,0.0315,108.5,0.034,9.0,"[[0.034, 9.0], [0.0345, 10.0], [0.035, 11.4], [0.0355, 9.0], [0.0405, 0.3], [0.041, 1.2]]",71.29,0.035,0.0315,173.9,-1.78571,-0.09344,-7.84286,3e-05,12.54004
