underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
9117.45,SYN.BTC-25SEP20,1579545024929,open,0.41,1.0,0.3775,0.449,0.40993223,72.66,0.425,0.0,BTC-25SEP20-6000-C,8651.75,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.88,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.42,,,,-2.66726,0.84077,26.75055,4e-05,18.24867
9120.75,SYN.BTC-25SEP20,1579545102468,open,0.41,1.0,0.3775,0.4495,0.41008688,72.66,0.425,0.0,BTC-25SEP20-6000-C,8655.28,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.8,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.35,,,,-2.6666,0.84092,26.75962,4e-05,18.24417
9120.39,SYN.BTC-25SEP20,1579545402563,open,0.41,1.0,0.3775,0.4495,0.41006027,72.66,0.425,0.0,BTC-25SEP20-6000-C,8655.85,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.81,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.36,,,,-2.66646,0.84091,26.75928,4e-05,18.24402
9120.98,SYN.BTC-25SEP20,1579545483154,open,0.41,1.0,0.3775,0.4495,0.4100761,72.65,0.425,0.0,BTC-25SEP20-6000-C,8657.01,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.79,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.35,,,,-2.66604,0.84095,26.76207,4e-05,18.24261
9123.21,SYN.BTC-25SEP20,1579545585154,open,0.41,1.0,0.3775,0.4495,0.41013393,72.63,0.425,0.0,BTC-25SEP20-6000-C,8656.81,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.74,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.3,,,,-2.6644,0.84108,26.77299,4e-05,18.23721
9123.9,SYN.BTC-25SEP20,1579545672460,open,0.41,1.0,0.3775,0.4495,0.4101995,72.64,0.425,0.0,BTC-25SEP20-6000-C,8657.95,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.72,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.29,,,,-2.66512,0.84108,26.77141,4e-05,18.23791
9124.13,SYN.BTC-25SEP20,1579545748020,open,0.41,1.0,0.3775,0.4495,0.41020698,72.64,0.425,0.0,BTC-25SEP20-6000-C,8658.45,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.71,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.28,,,,-2.66501,0.8411,26.77226,4e-05,18.23744
9121.58,SYN.BTC-25SEP20,1579545819154,open,0.41,1.0,0.3775,0.4495,0.41008133,72.64,0.425,0.0,BTC-25SEP20-6000-C,8657.26,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.78,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.33,,,,-2.66538,0.84099,26.76565,4e-05,18.24051
9119.6,SYN.BTC-25SEP20,1579545897154,open,0.41,1.0,0.3775,0.4495,0.40997333,72.63,0.425,0.0,BTC-25SEP20-6000-C,8656.41,16816666820,"[[0.4005, 7.0], [0.4, 0.1]]",67.83,0.4005,7.0,0.432,7.0,"[[0.432, 7.0]]",83.38,,,,-2.6654,0.84091,26.76163,4e-05,18.2424
9108.48,SYN.BTC-25SEP20,1579572032662,open,0.41,1.0,0.3735,0.444,0.40551087,70.7,0.425,0.0,BTC-25SEP20-6000-C,8637.88,16821810195,"[[0.4, 5.1]]",67.89,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.66,,,,-2.56889,0.84315,27.11169,5e-05,18.04029
9108.49,SYN.BTC-25SEP20,1579572102154,open,0.41,1.0,0.3735,0.444,0.40551117,70.7,0.425,0.0,BTC-25SEP20-6000-C,8635.95,16821810195,"[[0.4, 5.1]]",67.89,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.66,,,,-2.56889,0.84315,27.11167,5e-05,18.04024
9107.35,SYN.BTC-25SEP20,1579572171626,open,0.41,1.0,0.3735,0.444,0.40545953,70.7,0.425,0.0,BTC-25SEP20-6000-C,8636.34,16821810195,"[[0.4, 5.1]]",67.92,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.68,,,,-2.56922,0.8431,27.10801,5e-05,18.04206
9106.79,SYN.BTC-25SEP20,1579572243154,open,0.41,1.0,0.3735,0.444,0.40542909,70.7,0.425,0.0,BTC-25SEP20-6000-C,8635.96,16821810195,"[[0.4, 5.1]]",67.94,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.69,,,,-2.56925,0.84307,27.10675,5e-05,18.04264
9106.91,SYN.BTC-25SEP20,1579572316641,open,0.41,1.0,0.3735,0.444,0.40543894,70.7,0.425,0.0,BTC-25SEP20-6000-C,8636.98,16821810195,"[[0.4, 5.1]]",67.93,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.69,,,,-2.56934,0.84308,27.10659,5e-05,18.04266
9107.18,SYN.BTC-25SEP20,1579572384154,open,0.41,1.0,0.3735,0.444,0.4054332,70.69,0.425,0.0,BTC-25SEP20-6000-C,8636.85,16821810195,"[[0.4, 5.1]]",67.93,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.69,,,,-2.56881,0.8431,27.10922,5e-05,18.04125
9107.86,SYN.BTC-25SEP20,1579572456630,open,0.41,1.0,0.3735,0.444,0.40548598,70.7,0.425,0.0,BTC-25SEP20-6000-C,8638.04,16821810195,"[[0.4, 5.1]]",67.91,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.67,,,,-2.56921,0.84312,27.10883,5e-05,18.04132
9112.46,SYN.BTC-25SEP20,1579572527120,open,0.41,1.0,0.374,0.444,0.4056994,70.7,0.425,0.0,BTC-25SEP20-6000-C,8641.68,16821810195,"[[0.4, 5.1]]",67.79,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.58,,,,-2.56806,0.84333,27.1225,5e-05,18.03422
9113.27,SYN.BTC-25SEP20,1579572600154,open,0.41,1.0,0.374,0.444,0.40577154,70.72,0.425,0.0,BTC-25SEP20-6000-C,8641.99,16821810195,"[[0.4, 5.1]]",67.77,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.56,,,,-2.56878,0.84334,27.12107,5e-05,18.03489
9113.73,SYN.BTC-25SEP20,1579572669154,open,0.41,1.0,0.374,0.444,0.40575158,70.7,0.425,0.0,BTC-25SEP20-6000-C,8644.03,16821810195,"[[0.4, 5.1]]",67.76,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.55,,,,-2.56758,0.84339,27.12684,5e-05,18.03185
9122.89,SYN.BTC-25SEP20,1579572737585,open,0.41,1.0,0.3745,0.4445,0.40619159,70.7,0.425,0.0,BTC-25SEP20-6000-C,8651.78,16821810195,"[[0.4, 5.1]]",67.53,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.36,,,,-2.56572,0.84381,27.15229,5e-05,18.01862
9123.76,SYN.BTC-25SEP20,1579572806061,open,0.41,1.0,0.3745,0.4445,0.40627589,70.72,0.425,0.0,BTC-25SEP20-6000-C,8652.66,16821810195,"[[0.4, 5.1]]",67.51,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.34,,,,-2.56667,0.84382,27.15009,5e-05,18.0197
9127.3,SYN.BTC-25SEP20,1579572876552,open,0.41,1.0,0.3745,0.4445,0.4064779,70.73,0.425,0.0,BTC-25SEP20-6000-C,8654.26,16821810195,"[[0.4, 5.1]]",67.42,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.27,,,,-2.5668,0.84395,27.15637,4e-05,18.01632
9127.55,SYN.BTC-25SEP20,1579572948154,open,0.41,1.0,0.3745,0.445,0.40648879,70.73,0.425,0.0,BTC-25SEP20-6000-C,8653.9,16821810195,"[[0.4, 5.1]]",67.41,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.26,,,,-2.56674,0.84396,27.15706,4e-05,18.0159
9123.58,SYN.BTC-25SEP20,1579573016529,open,0.41,1.0,0.3745,0.4445,0.4063118,70.74,0.425,0.0,BTC-25SEP20-6000-C,8649.97,16821810195,"[[0.4, 5.1]]",67.51,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.35,,,,-2.56791,0.84377,27.14448,5e-05,18.02235
9124.63,SYN.BTC-25SEP20,1579573086154,open,0.41,1.0,0.3745,0.4445,0.4063608,70.74,0.425,0.0,BTC-25SEP20-6000-C,8652.09,16821810195,"[[0.4, 5.1]]",67.48,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.32,,,,-2.56766,0.84382,27.14752,4e-05,18.02071
9123.52,SYN.BTC-25SEP20,1579573158517,open,0.41,1.0,0.3745,0.4445,0.40631533,70.74,0.425,0.0,BTC-25SEP20-6000-C,8652.18,16821810195,"[[0.4, 5.1]]",67.51,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.35,,,,-2.5681,0.84377,27.14347,5e-05,18.02274
9120.22,SYN.BTC-25SEP20,1579573228001,open,0.41,1.0,0.3745,0.4445,0.40616743,70.75,0.425,0.0,BTC-25SEP20-6000-C,8649.45,16821810195,"[[0.4, 5.1]]",67.6,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.42,,,,-2.56906,0.84361,27.13307,5e-05,18.02805
9120.53,SYN.BTC-25SEP20,1579573297487,open,0.41,1.0,0.3745,0.4445,0.40617698,70.75,0.425,0.0,BTC-25SEP20-6000-C,8649.15,16821810195,"[[0.4, 5.1]]",67.59,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.41,,,,-2.56886,0.84363,27.1344,5e-05,18.02724
9113.9,SYN.BTC-25SEP20,1579573368984,open,0.41,1.0,0.374,0.444,0.40586502,70.75,0.425,0.0,BTC-25SEP20-6000-C,8646.23,16821810195,"[[0.4, 5.1]]",67.76,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.55,,,,-2.57039,0.84333,27.11515,5e-05,18.0371
9112.48,SYN.BTC-25SEP20,1579573437461,open,0.41,1.0,0.374,0.444,0.40577527,70.74,0.425,0.0,BTC-25SEP20-6000-C,8645.42,16821810195,"[[0.4, 5.1]]",67.79,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.58,,,,-2.57013,0.84328,27.1134,5e-05,18.03794
9114.82,SYN.BTC-25SEP20,1579573509154,open,0.41,1.0,0.374,0.444,0.40589431,70.74,0.425,0.0,BTC-25SEP20-6000-C,8647.86,16821810195,"[[0.4, 5.1]]",67.73,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.53,,,,-2.56984,0.84338,27.11911,5e-05,18.03493
9116.68,SYN.BTC-25SEP20,1579573581154,open,0.41,1.0,0.374,0.4445,0.40599307,70.75,0.425,0.0,BTC-25SEP20-6000-C,8648.46,16821810195,"[[0.4, 5.1]]",67.69,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.49,,,,-2.56971,0.84345,27.1232,5e-05,18.03276
9117.93,SYN.BTC-25SEP20,1579573651957,open,0.41,1.0,0.374,0.4445,0.40606058,70.75,0.425,0.0,BTC-25SEP20-6000-C,8647.98,16821810195,"[[0.4, 5.1]]",67.66,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.47,,,,-2.56966,0.84351,27.1258,5e-05,18.03129
9116.5,SYN.BTC-25SEP20,1579573722447,open,0.41,1.0,0.374,0.4445,0.40599176,70.75,0.425,0.0,BTC-25SEP20-6000-C,8647.08,16821810195,"[[0.4, 5.1]]",67.69,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.5,,,,-2.56995,0.84344,27.12174,5e-05,18.03332
9115.98,SYN.BTC-25SEP20,1579573791154,open,0.41,1.0,0.374,0.4445,0.40596759,70.75,0.425,0.0,BTC-25SEP20-6000-C,8647.9,16821810195,"[[0.4, 5.1]]",67.71,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.51,,,,-2.5701,0.84342,27.12006,5e-05,18.03412
9115.53,SYN.BTC-25SEP20,1579573860407,open,0.41,1.0,0.374,0.4445,0.40594437,70.75,0.425,0.0,BTC-25SEP20-6000-C,8647.29,16821810195,"[[0.4, 5.1]]",67.72,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.52,,,,-2.57015,0.8434,27.11893,5e-05,18.03464
9116.02,SYN.BTC-25SEP20,1579573926154,open,0.41,1.0,0.374,0.4445,0.4059587,70.75,0.425,0.0,BTC-25SEP20-6000-C,8647.32,16821810195,"[[0.4, 5.1]]",67.71,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.51,,,,-2.56982,0.84343,27.12119,5e-05,18.03341
9116.04,SYN.BTC-25SEP20,1579573995154,open,0.41,1.0,0.374,0.4445,0.40596923,70.75,0.425,0.0,BTC-25SEP20-6000-C,8647.56,16821810195,"[[0.4, 5.1]]",67.7,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.51,,,,-2.57008,0.84342,27.12014,5e-05,18.03389
9115.83,SYN.BTC-25SEP20,1579574067154,open,0.41,1.0,0.374,0.4445,0.40596218,70.75,0.425,0.0,BTC-25SEP20-6000-C,8647.41,16821810195,"[[0.4, 5.1]]",67.71,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.51,,,,-2.5702,0.84341,27.1192,5e-05,18.03431
9102.93,SYN.BTC-25SEP20,1579574139355,open,0.41,1.0,0.3735,0.4435,0.40533066,70.75,0.425,0.0,BTC-25SEP20-6000-C,8635.96,16821810195,"[[0.4, 5.1]]",68.04,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.78,,,,-2.57254,0.84284,27.08423,5e-05,18.05216
9104.92,SYN.BTC-25SEP20,1579574208839,open,0.41,1.0,0.3735,0.444,0.40543054,70.75,0.425,0.0,BTC-25SEP20-6000-C,8635.68,16821810195,"[[0.4, 5.1]]",67.99,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.74,,,,-2.57225,0.84292,27.08927,5e-05,18.04951
9101.52,SYN.BTC-25SEP20,1579574277317,open,0.41,1.0,0.3735,0.4435,0.40526131,70.75,0.425,0.0,BTC-25SEP20-6000-C,8633.96,16821810195,"[[0.4, 5.1]]",68.07,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.81,,,,-2.57281,0.84277,27.08028,5e-05,18.05405
9104.17,SYN.BTC-25SEP20,1579574352154,open,0.41,1.0,0.3735,0.444,0.40538772,70.75,0.425,0.0,BTC-25SEP20-6000-C,8633.59,16821810195,"[[0.4, 5.1]]",68.01,0.4,5.1,0.432,5.0,"[[0.432, 5.0]]",83.75,,,,-2.57225,0.84289,27.08772,5e-05,18.05017
