underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8983.14,BTC-26JUN20,1579545020612,open,0.05,252.4,0.022,0.0885,0.04739365,80.09,0.049,0.0,BTC-26JUN20-16000-C,8651.95,16818700403,"[[0.0455, 23.0], [0.045, 11.0], [0.044, 12.2], [0.0435, 15.0]]",79.06,0.0455,23.0,0.049,27.0,"[[0.049, 27.0], [0.05, 10.4], [0.0515, 10.0], [0.091, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.95,0.05,0.0475,35.8,-4.22688,0.20218,6.00218,6e-05,16.63127
8986.4,BTC-26JUN20,1579545096427,open,0.05,252.4,0.0225,0.0885,0.04743611,80.08,0.049,0.0,BTC-26JUN20-16000-C,8655.69,16818708574,"[[0.0455, 23.0], [0.045, 11.0], [0.0445, 10.3], [0.0435, 15.0]]",79.03,0.0455,23.0,0.049,27.0,"[[0.049, 27.0], [0.0505, 12.3], [0.0515, 10.0], [0.091, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.92,0.05,0.0475,35.8,-4.23005,0.20233,6.00882,6e-05,16.64506
8984.18,BTC-26JUN20,1579545398612,open,0.05,252.4,0.022,0.0885,0.04739241,80.08,0.049,0.0,BTC-26JUN20-16000-C,8653.73,16818736579,"[[0.0455, 23.0], [0.045, 11.0], [0.044, 12.2], [0.0435, 15.0]]",79.05,0.0455,23.0,0.049,12.0,"[[0.049, 12.0], [0.0495, 15.0], [0.0505, 12.2], [0.0515, 10.0], [0.091, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.94,0.05,0.0475,35.8,-4.22711,0.20219,6.00322,6e-05,16.63355
8986.57,BTC-26JUN20,1579545476612,open,0.05,252.4,0.0225,0.0885,0.04742954,80.08,0.049,0.0,BTC-26JUN20-16000-C,8657.37,16818739899,"[[0.0455, 23.0], [0.045, 11.0], [0.044, 12.3], [0.0435, 15.0]]",79.03,0.0455,23.0,0.049,12.0,"[[0.049, 12.0], [0.0495, 15.0], [0.0505, 12.2], [0.0515, 10.0], [0.091, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.92,0.05,0.0475,35.8,-4.22979,0.20232,6.00847,6e-05,16.64444
8987.84,BTC-26JUN20,1579545578856,open,0.05,252.4,0.0225,0.0885,0.04742338,80.06,0.049,0.0,BTC-26JUN20-16000-C,8656.1,16818753894,"[[0.046, 4.0], [0.0455, 12.0], [0.045, 11.0], [0.044, 12.1], [0.0435, 15.0]]",79.29,0.046,4.0,0.049,12.0,"[[0.049, 12.0], [0.0495, 15.0], [0.0505, 12.2], [0.0515, 10.0], [0.091, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.91,0.05,0.0475,35.8,-4.22966,0.20232,6.00963,6e-05,16.64688
8989.38,BTC-26JUN20,1579545666422,open,0.05,252.4,0.0225,0.0885,0.04747733,80.08,0.049,0.0,BTC-26JUN20-16000-C,8657.86,16818760569,"[[0.046, 4.0], [0.0455, 12.0], [0.045, 11.0], [0.0445, 10.3], [0.0435, 15.0]]",79.28,0.046,4.0,0.049,12.0,"[[0.049, 12.0], [0.0495, 15.0], [0.0505, 12.2], [0.0515, 10.0], [0.0915, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.9,0.05,0.0475,35.8,-4.23322,0.20249,6.01485,6e-05,16.65769
8989.54,BTC-26JUN20,1579545743612,open,0.05,252.4,0.0225,0.0885,0.04748159,80.08,0.049,0.0,BTC-26JUN20-16000-C,8658.38,16818760569,"[[0.046, 4.0], [0.0455, 12.0], [0.045, 11.0], [0.0445, 10.3], [0.0435, 15.0]]",79.28,0.046,4.0,0.049,12.0,"[[0.049, 12.0], [0.0495, 15.0], [0.0505, 12.2], [0.0515, 10.0], [0.0915, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.89,0.05,0.0475,35.8,-4.23353,0.2025,6.01529,6e-05,16.65862
8987.14,BTC-26JUN20,1579545817512,open,0.05,252.4,0.0225,0.0885,0.04743915,80.08,0.049,0.0,BTC-26JUN20-16000-C,8657.26,16818771026,"[[0.046, 4.0], [0.0455, 12.0], [0.045, 11.0], [0.044, 12.3], [0.0435, 15.0]]",79.3,0.046,4.0,0.049,12.0,"[[0.049, 12.0], [0.0495, 15.0], [0.0505, 12.2], [0.0515, 10.0], [0.091, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.92,0.05,0.0475,35.8,-4.23058,0.20235,6.00962,6e-05,16.64692
8985.07,BTC-26JUN20,1579545893612,open,0.05,252.4,0.022,0.0885,0.04739857,80.08,0.049,0.0,BTC-26JUN20-16000-C,8656.28,16818778125,"[[0.0455, 23.0], [0.045, 11.0], [0.044, 11.0], [0.0435, 15.0]]",79.04,0.0455,23.0,0.049,12.0,"[[0.049, 12.0], [0.0495, 15.0], [0.05, 11.5], [0.0515, 10.0], [0.091, 12.0], [0.1425, 0.1], [0.1895, 3.4], [0.346, 0.1]]",80.94,0.05,0.0475,35.8,-4.22779,0.20222,6.0045,6e-05,16.63636
8974.11,BTC-26JUN20,1579572029643,open,0.05,253.4,0.021,0.085,0.04533972,79.13,0.045,0.0,BTC-26JUN20-16000-C,8637.76,16822028839,"[[0.0435, 29.0], [0.0425, 22.7]]",78.11,0.0435,29.0,0.047,19.6,"[[0.047, 19.6], [0.0475, 13.0], [0.048, 12.0], [0.0485, 12.3], [0.0495, 10.0], [0.0905, 12.0], [0.1425, 0.1], [0.1885, 3.4], [0.346, 0.1]]",80.04,0.05,0.045,41.8,-4.10754,0.19667,5.85087,6e-05,16.32455
