underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8983.14,BTC-26JUN20,1579545020612,open,1.7,0.0,1.6265,1.77,1.69084162,90.39,,0.0,BTC-26JUN20-24000-P,8651.95,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.687,-0.91273,-100.96177,3e-05,9.36746
8986.4,BTC-26JUN20,1579545095612,open,1.7,0.0,1.626,1.7695,1.69003428,90.52,,0.0,BTC-26JUN20-24000-P,8656.09,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.70448,-0.91218,-100.94498,3e-05,9.41461
8984.18,BTC-26JUN20,1579545398612,open,1.7,0.0,1.6265,1.77,1.69067087,90.52,,0.0,BTC-26JUN20-24000-P,8653.73,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.70168,-0.91227,-100.94589,3e-05,9.40519
8986.59,BTC-26JUN20,1579545473612,open,1.7,0.0,1.6255,1.769,1.68989847,90.45,,0.0,BTC-26JUN20-24000-P,8657.37,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.69635,-0.91244,-100.94923,3e-05,9.39394
8986.24,BTC-26JUN20,1579545578612,open,1.7,0.0,1.626,1.7695,1.6900283,90.48,,0.0,BTC-26JUN20-24000-P,8654.5,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.69899,-0.91235,-100.94623,3e-05,9.40017
8989.33,BTC-26JUN20,1579545665612,open,1.7,0.0,1.625,1.7685,1.68914541,90.49,,0.0,BTC-26JUN20-24000-P,8657.83,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.70325,-0.91222,-100.94118,3e-05,9.41381
8989.55,BTC-26JUN20,1579545740612,open,1.7,0.0,1.625,1.7685,1.68906477,90.47,,0.0,BTC-26JUN20-24000-P,8658.38,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.70172,-0.91227,-100.94199,3e-05,9.41008
8987.03,BTC-26JUN20,1579545815612,open,1.7,0.0,1.6255,1.769,1.68976325,90.44,,0.0,BTC-26JUN20-24000-P,8657.08,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.69604,-0.91245,-100.94675,3e-05,9.39326
8985.07,BTC-26JUN20,1579545893033,open,1.7,0.0,1.626,1.7695,1.69032958,90.44,,0.0,BTC-26JUN20-24000-P,8656.28,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.69398,-0.91251,-100.94869,3e-05,9.38617
8974.11,BTC-26JUN20,1579572029642,open,1.7,0.0,1.629,1.7715,1.69268282,89.72,,0.0,BTC-26JUN20-24000-P,8637.76,16812820320,"[[0.0005, 1.0]]",0.0,0.0005,1.0,0.0,0.0,[],0.0,,,,-2.6017,-0.91557,-100.84153,3e-05,9.11947
