underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8814.89,BTC-27MAR20,1579545024933,open,0.01,1581.9,0.0005,0.029,0.01028033,85.22,0.01,0.0,BTC-27MAR20-16000-C,8651.75,16818698307,"[[0.0095, 37.5], [0.009, 54.2], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.86,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.012, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.41,0.0105,0.01,1.5,-3.32933,0.07266,1.00279,4e-05,5.20115
8817.76,BTC-27MAR20,1579545104622,open,0.01,1581.9,0.0005,0.029,0.01029744,85.21,0.01,0.0,BTC-27MAR20-16000-C,8655.17,16818705836,"[[0.0095, 37.5], [0.009, 54.3], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.83,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.0125, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.38,0.0105,0.01,1.5,-3.33405,0.07277,1.00455,4e-05,5.20869
8816.06,BTC-27MAR20,1579545404621,open,0.01,1581.9,0.0005,0.029,0.01027545,85.2,0.01,0.0,BTC-27MAR20-16000-C,8656.09,16818738763,"[[0.0095, 37.5], [0.009, 54.0], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.85,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.0125, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.4,0.0105,0.01,1.5,-3.3286,0.07265,1.00268,4e-05,5.20081
8817.18,BTC-27MAR20,1579545485627,open,0.01,1581.9,0.0005,0.029,0.01028075,85.19,0.01,0.0,BTC-27MAR20-16000-C,8657.32,16818738763,"[[0.0095, 37.5], [0.009, 54.0], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.84,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.0125, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.39,0.0105,0.01,1.5,-3.33012,0.07268,1.00328,4e-05,5.20337
8817.71,BTC-27MAR20,1579545591899,open,0.01,1581.9,0.0005,0.029,0.01028511,85.19,0.01,0.0,BTC-27MAR20-16000-C,8657.08,16818753883,"[[0.0095, 37.5], [0.009, 54.0], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.84,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.0125, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.38,0.0105,0.01,1.5,-3.33134,0.07271,1.00366,4e-05,5.20504
8818.1,BTC-27MAR20,1579545674622,open,0.01,1581.9,0.0005,0.029,0.01028527,85.19,0.01,0.0,BTC-27MAR20-16000-C,8657.95,16818753883,"[[0.0095, 37.5], [0.009, 54.0], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.83,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.0125, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.38,0.0105,0.01,1.5,-3.33149,0.07271,1.00375,4e-05,5.20546
8817.38,BTC-27MAR20,1579545749622,open,0.01,1581.9,0.0005,0.029,0.01028342,85.2,0.01,0.0,BTC-27MAR20-16000-C,8657.83,16818753883,"[[0.0095, 37.5], [0.009, 54.0], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.84,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.0125, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.39,0.0105,0.01,1.5,-3.33095,0.0727,1.00345,4e-05,5.2042
8815.75,BTC-27MAR20,1579545821622,open,0.01,1581.9,0.0005,0.029,0.0102665,85.19,0.01,0.0,BTC-27MAR20-16000-C,8657.26,16818769509,"[[0.0095, 37.5], [0.009, 54.0], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.86,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.012, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.41,0.0105,0.01,1.5,-3.32663,0.0726,1.00196,4e-05,5.19785
8815.41,BTC-27MAR20,1579545902096,open,0.01,1581.9,0.0005,0.029,0.01026269,85.19,0.01,0.0,BTC-27MAR20-16000-C,8656.29,16818779603,"[[0.0095, 37.5], [0.009, 53.2], [0.0085, 65.0], [0.008, 24.0], [0.005, 10.0], [0.003, 10.0], [0.002, 10.0], [0.0015, 4.6]]",83.86,0.0095,37.5,0.011,39.0,"[[0.011, 39.0], [0.0115, 50.6], [0.012, 10.0], [0.016, 10.0], [0.017, 0.1], [0.022, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",86.41,0.0105,0.01,1.5,-3.32569,0.07258,1.00162,4e-05,5.19644
8797.68,BTC-27MAR20,1579572033667,open,0.01,1643.1,0.0005,0.026,0.00886068,83.11,0.0085,0.0,BTC-27MAR20-16000-C,8637.86,16822032435,"[[0.008, 119.8], [0.0075, 10.0], [0.003, 10.0], [0.002, 10.0]]",81.48,0.008,119.8,0.01,92.0,"[[0.01, 92.0], [0.0105, 16.6], [0.012, 10.0], [0.016, 10.0], [0.017, 0.1], [0.0205, 3.2], [0.023, 2.0], [0.0245, 1.0], [0.04, 10.0], [0.0515, 5.6], [0.052, 20.0]]",85.14,0.01,0.0085,63.1,-2.9898,0.06525,0.90042,4e-05,4.7665
