underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8814.91,BTC-27MAR20,1579545020616,open,2.86,0.0,2.782,2.9385,2.85763531,110.0,,0.0,BTC-27MAR20-34000-P,8651.95,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.3816,-0.99584,-61.94515,0.0,0.46183
8818.02,BTC-27MAR20,1579545096427,open,2.86,0.0,2.7805,2.938,2.85630676,110.57,,0.0,BTC-27MAR20-34000-P,8655.69,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.40101,-0.99563,-61.94097,0.0,0.4828
8813.71,BTC-27MAR20,1579545399543,open,2.86,0.0,2.782,2.941,2.8581685,110.17,,0.0,BTC-27MAR20-34000-P,8654.11,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.38648,-0.99579,-61.93991,0.0,0.46699
8817.06,BTC-27MAR20,1579545477090,open,2.86,0.0,2.781,2.9385,2.85669541,110.0,,0.0,BTC-27MAR20-34000-P,8657.41,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.3821,-0.99584,-61.9399,0.0,0.46239
8817.14,BTC-27MAR20,1579545579815,open,2.86,0.0,2.78,2.941,2.85663855,109.58,,0.0,BTC-27MAR20-34000-P,8655.99,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.36874,-0.99598,-61.94059,0.0,0.44793
8818.01,BTC-27MAR20,1579545666419,open,2.86,0.0,2.7805,2.938,2.85628028,110.0,,0.0,BTC-27MAR20-34000-P,8657.86,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.38233,-0.99583,-61.93792,0.0,0.46266
8818.06,BTC-27MAR20,1579545743993,open,2.86,0.0,2.7805,2.938,2.85625403,109.92,,0.0,BTC-27MAR20-34000-P,8658.25,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.37967,-0.99586,-61.93767,0.0,0.45978
8815.83,BTC-27MAR20,1579545817507,open,2.86,0.0,2.7815,2.939,2.85730268,111.27,,0.0,BTC-27MAR20-34000-P,8657.26,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.42384,-0.99538,-61.92986,0.0,0.507
8815.16,BTC-27MAR20,1579545894044,open,2.86,0.0,2.7815,2.939,2.8575212,109.92,,0.0,BTC-27MAR20-34000-P,8656.25,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.37879,-0.99587,-61.93588,0.0,0.4587
8797.71,BTC-27MAR20,1579572030646,open,2.86,0.0,2.789,2.9475,2.8651339,109.56,,0.0,BTC-27MAR20-34000-P,8637.89,16812820342,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,-0.35678,-0.99613,-61.65832,0.0,0.43148
