underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8746.3,SYN.BTC-28FEB20,1579545024929,open,0.26,11.6,0.245,0.2855,0.2640732,66.57,0.2975,0.0,BTC-28FEB20-6500-C,8651.75,16818698185,"[[0.258, 15.0], [0.2565, 0.1]]",46.23,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.57,,,,-3.27384,0.93057,6.15879,7e-05,3.79311
8749.47,SYN.BTC-28FEB20,1579545102468,open,0.26,11.6,0.2455,0.286,0.26431598,66.57,0.2975,0.0,BTC-28FEB20-6500-C,8655.28,16818706103,"[[0.258, 15.0], [0.257, 0.1]]",44.43,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.25,,,,-3.26748,0.93079,6.16054,7e-05,3.78536
8748.29,SYN.BTC-28FEB20,1579545402563,open,0.26,11.6,0.2455,0.2855,0.26420327,66.52,0.2975,0.0,BTC-28FEB20-6500-C,8655.85,16818729498,"[[0.258, 15.0], [0.2565, 0.1]]",45.14,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.37,,,,-3.26288,0.93084,6.16067,7e-05,3.78253
8749.55,SYN.BTC-28FEB20,1579545484139,open,0.26,11.6,0.2455,0.286,0.26432341,66.58,0.2975,0.0,BTC-28FEB20-6500-C,8657.32,16818738431,"[[0.258, 15.0], [0.257, 0.1]]",44.38,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.24,,,,-3.26795,0.93079,6.15987,7e-05,3.78517
8750.1,SYN.BTC-28FEB20,1579545587871,open,0.26,11.6,0.2455,0.286,0.26432226,66.48,0.2975,0.0,BTC-28FEB20-6500-C,8657.15,16818754276,"[[0.258, 15.0], [0.257, 0.1]]",44.04,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.19,,,,-3.25296,0.93107,6.16271,7e-05,3.7732
8750.67,SYN.BTC-28FEB20,1579545672461,open,0.26,11.6,0.2455,0.286,0.26436292,66.47,0.2975,0.0,BTC-28FEB20-6500-C,8657.95,16818754276,"[[0.258, 15.0], [0.257, 0.1]]",43.67,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.13,,,,-3.25096,0.93113,6.16312,7e-05,3.77111
8750.99,SYN.BTC-28FEB20,1579545748020,open,0.26,11.6,0.2455,0.286,0.26438107,66.46,0.2975,0.0,BTC-28FEB20-6500-C,8658.45,16818754276,"[[0.258, 15.0], [0.257, 0.1]]",43.45,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.1,,,,-3.24818,0.93119,6.16363,7e-05,3.76864
8749.08,SYN.BTC-28FEB20,1579545820890,open,0.26,11.6,0.2455,0.2855,0.26421835,66.42,0.2975,0.0,BTC-28FEB20-6500-C,8657.26,16818754276,"[[0.258, 15.0], [0.257, 0.1]]",44.67,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.3,,,,-3.24677,0.93116,6.16328,7e-05,3.76909
8748.5,SYN.BTC-28FEB20,1579545898890,open,0.26,11.6,0.2455,0.2855,0.26415983,66.39,0.2975,0.0,BTC-28FEB20-6500-C,8656.41,16818781096,"[[0.258, 15.0], [0.2565, 0.1]]",45.02,0.258,15.0,0.2775,15.0,"[[0.2775, 15.0], [0.31, 0.1]]",90.36,,,,-3.24353,0.9312,6.16368,7e-05,3.76707
8730.14,SYN.BTC-28FEB20,1579572032660,open,0.26,11.6,0.2435,0.2835,0.26215313,65.23,0.2975,0.0,BTC-28FEB20-6500-C,8637.88,16822029625,"[[0.256, 12.0], [0.255, 0.1]]",41.24,0.256,12.0,0.2785,12.0,"[[0.2785, 12.0], [0.31, 0.1]]",94.05,,,,-3.10944,0.93352,6.142,7e-05,3.64655
8728.81,SYN.BTC-28FEB20,1579572102143,open,0.26,11.6,0.2435,0.283,0.26204796,65.22,0.2975,0.0,BTC-28FEB20-6500-C,8635.95,16822029625,"[[0.256, 12.0], [0.255, 0.1]]",42.32,0.256,12.0,0.2785,12.0,"[[0.2785, 12.0], [0.31, 0.1]]",94.18,,,,-3.11134,0.93344,6.14124,7e-05,3.64909
8729.15,SYN.BTC-28FEB20,1579572172890,open,0.26,11.6,0.2435,0.2835,0.26207309,65.22,0.2975,0.0,BTC-28FEB20-6500-C,8636.34,16822029625,"[[0.256, 12.0], [0.255, 0.1]]",42.06,0.256,12.0,0.2785,12.0,"[[0.2785, 12.0], [0.31, 0.1]]",94.15,,,,-3.1103,0.93347,6.14141,7e-05,3.64792
8729.0,SYN.BTC-28FEB20,1579572243128,open,0.26,11.6,0.2435,0.283,0.26206285,65.23,0.2975,0.0,BTC-28FEB20-6500-C,8635.96,16822029625,"[[0.256, 12.0], [0.255, 0.1]]",42.18,0.256,12.0,0.2785,12.0,"[[0.2785, 12.0], [0.31, 0.1]]",94.16,,,,-3.11126,0.93345,6.14109,7e-05,3.64872
8729.43,SYN.BTC-28FEB20,1579572316641,open,0.26,11.6,0.2435,0.2835,0.26209933,65.24,0.2975,0.0,BTC-28FEB20-6500-C,8636.98,16822029625,"[[0.256, 12.0], [0.255, 0.1]]",41.84,0.256,12.0,0.2785,12.0,"[[0.2785, 12.0], [0.31, 0.1]]",94.12,,,,-3.11155,0.93346,6.14103,7e-05,3.64849
8729.48,SYN.BTC-28FEB20,1579572384126,open,0.26,11.6,0.2435,0.2835,0.26208191,65.18,0.2975,0.0,BTC-28FEB20-6500-C,8636.85,16822029625,"[[0.256, 12.0], [0.255, 0.1]]",41.79,0.256,12.0,0.2785,12.0,"[[0.2785, 12.0], [0.31, 0.1]]",94.12,,,,-3.10419,0.9336,6.14237,7e-05,3.64267
8730.51,SYN.BTC-28FEB20,1579572456632,open,0.26,11.6,0.2435,0.2835,0.26218604,65.25,0.2975,0.0,BTC-28FEB20-6500-C,8638.04,16822063620,"[[0.256, 12.0], [0.255, 0.1]]",40.92,0.256,12.0,0.2785,12.0,"[[0.2785, 12.0], [0.31, 0.1]]",94.02,,,,-3.11066,0.93351,6.14114,7e-05,3.64664
