underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8746.69,SYN.BTC-28FEB20,1579545007892,open,0.14,52.2,0.102,0.168,0.13242592,60.98,0.1315,0.0,BTC-28FEB20-9500-P,8652.43,16818241215,"[[0.128, 11.2]]",57.37,0.128,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.67,0.1315,0.1315,0.3,-8.52579,-0.62466,-6.99617,0.00022,10.78368
8752.19,SYN.BTC-28FEB20,1579545087365,open,0.14,52.2,0.1015,0.1675,0.13194676,60.97,0.1315,0.0,BTC-28FEB20-9500-P,8658.15,16818241215,"[[0.128, 11.2]]",57.76,0.128,11.2,0.1395,10.6,"[[0.1395, 10.6]]",67.05,0.1315,0.1315,0.3,-8.53941,-0.62346,-6.98497,0.00022,10.80112
8749.37,SYN.BTC-28FEB20,1579545168931,open,0.14,52.2,0.1015,0.168,0.1321895,60.97,0.1315,0.0,BTC-28FEB20-9500-P,8655.77,16818241215,"[[0.128, 11.2]]",57.56,0.128,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.86,0.1315,0.1315,0.3,-8.53243,-0.62408,-6.99045,0.00022,10.79187
8746.26,SYN.BTC-28FEB20,1579545392492,open,0.14,52.2,0.102,0.168,0.13243806,60.96,0.1315,0.0,BTC-28FEB20-9500-P,8653.66,16818241215,"[[0.128, 11.2]]",57.34,0.128,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.65,0.1315,0.1315,0.3,-8.52248,-0.62482,-6.99653,0.00022,10.78103
8749.74,SYN.BTC-28FEB20,1579545465007,open,0.14,52.2,0.1015,0.168,0.13213201,60.96,0.1315,0.0,BTC-28FEB20-9500-P,8657.45,16818241215,"[[0.128, 11.2]]",57.59,0.128,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.89,0.1315,0.1315,0.3,-8.5308,-0.62407,-6.98943,0.00022,10.79199
8751.19,SYN.BTC-28FEB20,1579545550892,open,0.14,52.2,0.1015,0.1675,0.13199208,60.94,0.1315,0.0,BTC-28FEB20-9500-P,8658.15,16818748828,"[[0.1265, 11.2]]",56.46,0.1265,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.99,0.1315,0.1315,0.3,-8.53261,-0.62379,-6.98661,0.00022,10.79616
8750.67,SYN.BTC-28FEB20,1579545655892,open,0.14,52.2,0.1015,0.168,0.13204198,60.95,0.1315,0.0,BTC-28FEB20-9500-P,8657.86,16818748828,"[[0.1265, 11.2]]",56.43,0.1265,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.95,0.1315,0.1315,0.3,-8.53231,-0.62389,-6.98732,0.00022,10.79443
8750.88,SYN.BTC-28FEB20,1579545736892,open,0.14,52.2,0.1015,0.1675,0.13200853,60.94,0.1315,0.0,BTC-28FEB20-9500-P,8658.36,16818748828,"[[0.1265, 11.2]]",56.44,0.1265,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.97,0.1315,0.1315,0.3,-8.53097,-0.62389,-6.987,0.00022,10.79465
8748.9,SYN.BTC-28FEB20,1579545811463,open,0.14,52.2,0.1015,0.168,0.13217272,60.93,0.1315,0.0,BTC-28FEB20-9500-P,8657.08,16818748828,"[[0.1265, 11.2]]",56.3,0.1265,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.83,0.1315,0.1315,0.3,-8.52542,-0.62433,-6.99084,0.00022,10.78798
8748.63,SYN.BTC-28FEB20,1579545883969,open,0.14,52.2,0.102,0.168,0.13219468,60.93,0.1315,0.0,BTC-28FEB20-9500-P,8656.59,16818748828,"[[0.1265, 11.2]]",56.28,0.1265,11.2,0.1395,10.6,"[[0.1395, 10.6]]",66.82,0.1315,0.1315,0.3,-8.52467,-0.6244,-6.99129,0.00022,10.78697
