underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8677.69,SYN.BTC-31JAN20,1579545024933,open,0.0,1100.9,0.0005,0.011,0.0014774,69.74,0.001,0.0,BTC-31JAN20-7000-P,8651.75,16818693849,"[[0.001, 46.0], [0.0005, 57.7]]",65.22,0.001,46.0,0.002,30.0,"[[0.002, 30.0], [0.0025, 71.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",73.78,0.002,0.001,34.7,-3.38151,-0.03072,-0.08085,7e-05,1.02433
8681.18,SYN.BTC-31JAN20,1579545101614,open,0.0,1100.9,0.0005,0.011,0.0014652,69.75,0.001,0.0,BTC-31JAN20-7000-P,8655.42,16818708072,"[[0.001, 46.0], [0.0005, 57.7]]",65.33,0.001,46.0,0.002,30.0,"[[0.002, 30.0], [0.0025, 71.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",73.9,0.002,0.001,34.7,-3.36314,-0.03049,-0.08028,7e-05,1.01848
8680.85,SYN.BTC-31JAN20,1579545401614,open,0.0,1100.9,0.0005,0.011,0.00146451,69.74,0.001,0.0,BTC-31JAN20-7000-P,8655.6,16818731382,"[[0.001, 20.0], [0.0005, 83.7]]",65.33,0.001,20.0,0.0015,30.0,"[[0.0015, 30.0], [0.002, 26.0], [0.0025, 46.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",70.04,0.002,0.001,34.7,-3.36276,-0.03049,-0.08023,7e-05,1.0181
8682.7,SYN.BTC-31JAN20,1579545483132,open,0.0,1100.9,0.0005,0.011,0.00144289,69.62,0.001,0.0,BTC-31JAN20-7000-P,8657.01,16818731382,"[[0.001, 20.0], [0.0005, 83.7]]",65.38,0.001,20.0,0.0015,30.0,"[[0.0015, 30.0], [0.002, 26.0], [0.0025, 46.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",70.1,0.002,0.001,34.7,-3.32618,-0.03014,-0.07933,7e-05,1.00876
8682.34,SYN.BTC-31JAN20,1579545584614,open,0.0,1100.9,0.0005,0.011,0.00143503,69.54,0.001,0.0,BTC-31JAN20-7000-P,8656.81,16818731382,"[[0.001, 20.0], [0.0005, 83.7]]",65.38,0.001,20.0,0.0015,30.0,"[[0.0015, 30.0], [0.002, 26.0], [0.0025, 46.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",70.1,0.002,0.001,34.7,-3.31241,-0.03003,-0.07901,7e-05,1.00553
8683.28,SYN.BTC-31JAN20,1579545671614,open,0.0,1100.9,0.0005,0.011,0.00142041,69.45,0.001,0.0,BTC-31JAN20-7000-P,8657.88,16818731382,"[[0.001, 20.0], [0.0005, 83.7]]",65.41,0.001,20.0,0.0015,30.0,"[[0.0015, 30.0], [0.002, 26.0], [0.0025, 46.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",70.13,0.002,0.001,34.7,-3.28735,-0.0298,-0.0784,7e-05,0.99922
8683.82,SYN.BTC-31JAN20,1579545748021,open,0.0,1100.9,0.0005,0.011,0.00141097,69.39,0.001,0.0,BTC-31JAN20-7000-P,8658.45,16818731382,"[[0.001, 20.0], [0.0005, 83.7]]",65.43,0.001,20.0,0.0015,30.0,"[[0.0015, 30.0], [0.002, 26.0], [0.0025, 46.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",70.15,0.002,0.001,34.7,-3.27115,-0.02965,-0.07801,7e-05,0.99514
8682.4,SYN.BTC-31JAN20,1579545818614,open,0.0,1100.9,0.0005,0.011,0.00140942,69.33,0.001,0.0,BTC-31JAN20-7000-P,8657.26,16818731382,"[[0.001, 20.0], [0.0005, 83.7]]",65.39,0.001,20.0,0.0015,30.0,"[[0.0015, 30.0], [0.002, 26.0], [0.0025, 46.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",70.11,0.002,0.001,34.7,-3.26778,-0.02965,-0.07796,7e-05,0.99474
8681.61,SYN.BTC-31JAN20,1579545896614,open,0.0,1100.9,0.0005,0.011,0.00140517,69.27,0.001,0.0,BTC-31JAN20-7000-P,8656.41,16818779582,"[[0.001, 20.0], [0.0005, 53.7]]",65.37,0.001,20.0,0.0015,30.0,"[[0.0015, 30.0], [0.002, 26.0], [0.0025, 46.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.041, 0.7], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.2305, 1.2]]",70.09,0.002,0.001,34.7,-3.25984,-0.02959,-0.0778,7e-05,0.99311
8662.58,SYN.BTC-31JAN20,1579572032660,open,0.0,1139.3,0.0005,0.011,0.00144582,70.04,0.001,0.0,BTC-31JAN20-7000-P,8637.88,16821999489,"[[0.001, 31.0], [0.0005, 72.7]]",65.75,0.001,31.0,0.002,94.0,"[[0.002, 94.0], [0.0025, 20.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.04, 0.3], [0.041, 0.4], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.231, 1.2]]",74.39,0.0015,0.001,84.7,-3.4158,-0.03044,-0.07756,7e-05,0.9997
8660.85,SYN.BTC-31JAN20,1579572102144,open,0.0,1139.3,0.0005,0.011,0.00145391,70.06,0.001,0.0,BTC-31JAN20-7000-P,8635.95,16822036986,"[[0.001, 31.0], [0.0005, 72.7]]",65.7,0.001,31.0,0.002,94.0,"[[0.002, 94.0], [0.0025, 20.0], [0.003, 0.1], [0.0035, 0.1], [0.0045, 5.0], [0.01, 0.2], [0.014, 0.1], [0.0155, 3.4], [0.02, 1.2], [0.0375, 2.0], [0.039, 0.4], [0.04, 0.3], [0.05, 0.7], [0.072, 0.1], [0.173, 0.5], [0.231, 1.2]]",74.34,0.0015,0.001,84.7,-3.42935,-0.03058,-0.07791,7e-05,1.00335
